,count,mean,std,min,25%,50%,75%,max
ast,2411.0,30.79,5.07,15.0,27.0,31.0,35.0,40.0
alt,2411.0,52.45,11.36,34.0,44.0,50.0,58.0,169.0
bmi,2411.0,27.61,5.52,12.5,23.6,26.9,31.0,49.5
gamma_gtp,2411.0,65.07,52.24,6.0,34.0,49.0,77.0,550.0
ldl,2411.0,134.96,33.6,30.0,113.5,134.0,156.0,318.0
crtn,2411.0,0.93,0.16,0.5,0.8,0.9,1.0,1.2
fbs,2411.0,99.16,9.45,72.0,92.0,98.0,105.0,125.0
hgb,2411.0,15.6,1.08,10.6,15.0,15.7,16.2,18.9
tc,2411.0,210.7,37.11,76.0,187.0,209.0,233.0,424.0
vcr,2411.0,1.36,0.61,0.0,0.9,1.2,2.0,2.0
vcl,2411.0,1.41,0.58,0.0,1.0,1.25,2.0,2.0
height,2411.0,172.84,6.66,145.0,169.0,173.0,177.0,197.0
weight,2411.0,79.72,11.03,48.8,71.9,78.6,86.1,133.8
wc,2411.0,92.01,7.89,69.0,86.0,91.0,97.0,129.0
sbp,2411.0,125.43,10.88,90.0,118.0,125.0,133.0,165.0
dbp,2411.0,78.62,8.62,50.0,73.0,79.0,84.0,114.0
egfr,2411.0,98.25,14.16,61.0,87.0,98.0,109.0,144.0
