,class,Variable,SHAP,abs_SHAP
0,3,tc1,1.5879148244857788,1.5879148244857788
1,3,bmi1,-1.1899378299713135,1.1899378299713135
2,3,ldl1,0.8602539896965027,0.8602539896965027
3,3,height,0.6751822829246521,0.6751822829246521
4,3,wc1,-0.4659844636917114,0.4659844636917114
5,3,weight,0.458002507686615,0.458002507686615
6,3,egfr1,-0.4466519355773926,0.4466519355773926
7,3,vcl1,0.39362961053848267,0.39362961053848267
8,3,vcr1,0.24198800325393677,0.24198800325393677
9,3,gender,0.1611686497926712,0.1611686497926712
10,3,alt1,-0.159570574760437,0.159570574760437
11,3,sbp1,-0.15588374435901642,0.15588374435901642
12,3,hgb1,0.15206438302993774,0.15206438302993774
13,3,gamma_gtp1,-0.13837258517742157,0.13837258517742157
14,3,dbp1,-0.09076792001724243,0.09076792001724243
15,3,crtn1,-0.030298883095383644,0.030298883095383644
16,3,ast1,-0.025492234155535698,0.025492234155535698
17,3,fbs1,-0.019754299893975258,0.019754299893975258
18,3,htn_med,-0.008822763338685036,0.008822763338685036
19,3,dld_med,0.00018135513528250158,0.00018135513528250158
20,3,dm_med,0.0,0.0
